VCD info: dumpfile waves/fa4.vcd opened for output.
A=0000, B=0000, Cin=0, Cout=0, S=0000
A=0000, B=0000, Cin=1, Cout=0, S=0001
A=0000, B=0001, Cin=0, Cout=0, S=0001
A=0000, B=0001, Cin=1, Cout=0, S=0010
A=0000, B=0010, Cin=0, Cout=0, S=0010
A=0000, B=0010, Cin=1, Cout=0, S=0011
A=0000, B=0011, Cin=0, Cout=0, S=0011
A=0000, B=0011, Cin=1, Cout=0, S=0100
A=0000, B=0100, Cin=0, Cout=0, S=0100
A=0000, B=0100, Cin=1, Cout=0, S=0101
A=0000, B=0101, Cin=0, Cout=0, S=0101
A=0000, B=0101, Cin=1, Cout=0, S=0110
A=0000, B=0110, Cin=0, Cout=0, S=0110
A=0000, B=0110, Cin=1, Cout=0, S=0111
A=0000, B=0111, Cin=0, Cout=0, S=0111
A=0000, B=0111, Cin=1, Cout=0, S=1000
A=0000, B=1000, Cin=0, Cout=0, S=1000
A=0000, B=1000, Cin=1, Cout=0, S=1001
A=0000, B=1001, Cin=0, Cout=0, S=1001
A=0000, B=1001, Cin=1, Cout=0, S=1010
A=0000, B=1010, Cin=0, Cout=0, S=1010
A=0000, B=1010, Cin=1, Cout=0, S=1011
A=0000, B=1011, Cin=0, Cout=0, S=1011
A=0000, B=1011, Cin=1, Cout=0, S=1100
A=0000, B=1100, Cin=0, Cout=0, S=1100
A=0000, B=1100, Cin=1, Cout=0, S=1101
A=0000, B=1101, Cin=0, Cout=0, S=1101
A=0000, B=1101, Cin=1, Cout=0, S=1110
A=0000, B=1110, Cin=0, Cout=0, S=1110
A=0000, B=1110, Cin=1, Cout=0, S=1111
A=0000, B=1111, Cin=0, Cout=0, S=1111
A=0000, B=1111, Cin=1, Cout=1, S=0000
A=0001, B=0000, Cin=0, Cout=0, S=0001
A=0001, B=0000, Cin=1, Cout=0, S=0010
A=0001, B=0001, Cin=0, Cout=0, S=0010
A=0001, B=0001, Cin=1, Cout=0, S=0011
A=0001, B=0010, Cin=0, Cout=0, S=0011
A=0001, B=0010, Cin=1, Cout=0, S=0100
A=0001, B=0011, Cin=0, Cout=0, S=0100
A=0001, B=0011, Cin=1, Cout=0, S=0101
A=0001, B=0100, Cin=0, Cout=0, S=0101
A=0001, B=0100, Cin=1, Cout=0, S=0110
A=0001, B=0101, Cin=0, Cout=0, S=0110
A=0001, B=0101, Cin=1, Cout=0, S=0111
A=0001, B=0110, Cin=0, Cout=0, S=0111
A=0001, B=0110, Cin=1, Cout=0, S=1000
A=0001, B=0111, Cin=0, Cout=0, S=1000
A=0001, B=0111, Cin=1, Cout=0, S=1001
A=0001, B=1000, Cin=0, Cout=0, S=1001
A=0001, B=1000, Cin=1, Cout=0, S=1010
A=0001, B=1001, Cin=0, Cout=0, S=1010
A=0001, B=1001, Cin=1, Cout=0, S=1011
A=0001, B=1010, Cin=0, Cout=0, S=1011
A=0001, B=1010, Cin=1, Cout=0, S=1100
A=0001, B=1011, Cin=0, Cout=0, S=1100
A=0001, B=1011, Cin=1, Cout=0, S=1101
A=0001, B=1100, Cin=0, Cout=0, S=1101
A=0001, B=1100, Cin=1, Cout=0, S=1110
A=0001, B=1101, Cin=0, Cout=0, S=1110
A=0001, B=1101, Cin=1, Cout=0, S=1111
A=0001, B=1110, Cin=0, Cout=0, S=1111
A=0001, B=1110, Cin=1, Cout=1, S=0000
A=0001, B=1111, Cin=0, Cout=1, S=0000
A=0001, B=1111, Cin=1, Cout=1, S=0001
A=0010, B=0000, Cin=0, Cout=0, S=0010
A=0010, B=0000, Cin=1, Cout=0, S=0011
A=0010, B=0001, Cin=0, Cout=0, S=0011
A=0010, B=0001, Cin=1, Cout=0, S=0100
A=0010, B=0010, Cin=0, Cout=0, S=0100
A=0010, B=0010, Cin=1, Cout=0, S=0101
A=0010, B=0011, Cin=0, Cout=0, S=0101
A=0010, B=0011, Cin=1, Cout=0, S=0110
A=0010, B=0100, Cin=0, Cout=0, S=0110
A=0010, B=0100, Cin=1, Cout=0, S=0111
A=0010, B=0101, Cin=0, Cout=0, S=0111
A=0010, B=0101, Cin=1, Cout=0, S=1000
A=0010, B=0110, Cin=0, Cout=0, S=1000
A=0010, B=0110, Cin=1, Cout=0, S=1001
A=0010, B=0111, Cin=0, Cout=0, S=1001
A=0010, B=0111, Cin=1, Cout=0, S=1010
A=0010, B=1000, Cin=0, Cout=0, S=1010
A=0010, B=1000, Cin=1, Cout=0, S=1011
A=0010, B=1001, Cin=0, Cout=0, S=1011
A=0010, B=1001, Cin=1, Cout=0, S=1100
A=0010, B=1010, Cin=0, Cout=0, S=1100
A=0010, B=1010, Cin=1, Cout=0, S=1101
A=0010, B=1011, Cin=0, Cout=0, S=1101
A=0010, B=1011, Cin=1, Cout=0, S=1110
A=0010, B=1100, Cin=0, Cout=0, S=1110
A=0010, B=1100, Cin=1, Cout=0, S=1111
A=0010, B=1101, Cin=0, Cout=0, S=1111
A=0010, B=1101, Cin=1, Cout=1, S=0000
A=0010, B=1110, Cin=0, Cout=1, S=0000
A=0010, B=1110, Cin=1, Cout=1, S=0001
A=0010, B=1111, Cin=0, Cout=1, S=0001
A=0010, B=1111, Cin=1, Cout=1, S=0010
A=0011, B=0000, Cin=0, Cout=0, S=0011
A=0011, B=0000, Cin=1, Cout=0, S=0100
A=0011, B=0001, Cin=0, Cout=0, S=0100
A=0011, B=0001, Cin=1, Cout=0, S=0101
A=0011, B=0010, Cin=0, Cout=0, S=0101
A=0011, B=0010, Cin=1, Cout=0, S=0110
A=0011, B=0011, Cin=0, Cout=0, S=0110
A=0011, B=0011, Cin=1, Cout=0, S=0111
A=0011, B=0100, Cin=0, Cout=0, S=0111
A=0011, B=0100, Cin=1, Cout=0, S=1000
A=0011, B=0101, Cin=0, Cout=0, S=1000
A=0011, B=0101, Cin=1, Cout=0, S=1001
A=0011, B=0110, Cin=0, Cout=0, S=1001
A=0011, B=0110, Cin=1, Cout=0, S=1010
A=0011, B=0111, Cin=0, Cout=0, S=1010
A=0011, B=0111, Cin=1, Cout=0, S=1011
A=0011, B=1000, Cin=0, Cout=0, S=1011
A=0011, B=1000, Cin=1, Cout=0, S=1100
A=0011, B=1001, Cin=0, Cout=0, S=1100
A=0011, B=1001, Cin=1, Cout=0, S=1101
A=0011, B=1010, Cin=0, Cout=0, S=1101
A=0011, B=1010, Cin=1, Cout=0, S=1110
A=0011, B=1011, Cin=0, Cout=0, S=1110
A=0011, B=1011, Cin=1, Cout=0, S=1111
A=0011, B=1100, Cin=0, Cout=0, S=1111
A=0011, B=1100, Cin=1, Cout=1, S=0000
A=0011, B=1101, Cin=0, Cout=1, S=0000
A=0011, B=1101, Cin=1, Cout=1, S=0001
A=0011, B=1110, Cin=0, Cout=1, S=0001
A=0011, B=1110, Cin=1, Cout=1, S=0010
A=0011, B=1111, Cin=0, Cout=1, S=0010
A=0011, B=1111, Cin=1, Cout=1, S=0011
A=0100, B=0000, Cin=0, Cout=0, S=0100
A=0100, B=0000, Cin=1, Cout=0, S=0101
A=0100, B=0001, Cin=0, Cout=0, S=0101
A=0100, B=0001, Cin=1, Cout=0, S=0110
A=0100, B=0010, Cin=0, Cout=0, S=0110
A=0100, B=0010, Cin=1, Cout=0, S=0111
A=0100, B=0011, Cin=0, Cout=0, S=0111
A=0100, B=0011, Cin=1, Cout=0, S=1000
A=0100, B=0100, Cin=0, Cout=0, S=1000
A=0100, B=0100, Cin=1, Cout=0, S=1001
A=0100, B=0101, Cin=0, Cout=0, S=1001
A=0100, B=0101, Cin=1, Cout=0, S=1010
A=0100, B=0110, Cin=0, Cout=0, S=1010
A=0100, B=0110, Cin=1, Cout=0, S=1011
A=0100, B=0111, Cin=0, Cout=0, S=1011
A=0100, B=0111, Cin=1, Cout=0, S=1100
A=0100, B=1000, Cin=0, Cout=0, S=1100
A=0100, B=1000, Cin=1, Cout=0, S=1101
A=0100, B=1001, Cin=0, Cout=0, S=1101
A=0100, B=1001, Cin=1, Cout=0, S=1110
A=0100, B=1010, Cin=0, Cout=0, S=1110
A=0100, B=1010, Cin=1, Cout=0, S=1111
A=0100, B=1011, Cin=0, Cout=0, S=1111
A=0100, B=1011, Cin=1, Cout=1, S=0000
A=0100, B=1100, Cin=0, Cout=1, S=0000
A=0100, B=1100, Cin=1, Cout=1, S=0001
A=0100, B=1101, Cin=0, Cout=1, S=0001
A=0100, B=1101, Cin=1, Cout=1, S=0010
A=0100, B=1110, Cin=0, Cout=1, S=0010
A=0100, B=1110, Cin=1, Cout=1, S=0011
A=0100, B=1111, Cin=0, Cout=1, S=0011
A=0100, B=1111, Cin=1, Cout=1, S=0100
A=0101, B=0000, Cin=0, Cout=0, S=0101
A=0101, B=0000, Cin=1, Cout=0, S=0110
A=0101, B=0001, Cin=0, Cout=0, S=0110
A=0101, B=0001, Cin=1, Cout=0, S=0111
A=0101, B=0010, Cin=0, Cout=0, S=0111
A=0101, B=0010, Cin=1, Cout=0, S=1000
A=0101, B=0011, Cin=0, Cout=0, S=1000
A=0101, B=0011, Cin=1, Cout=0, S=1001
A=0101, B=0100, Cin=0, Cout=0, S=1001
A=0101, B=0100, Cin=1, Cout=0, S=1010
A=0101, B=0101, Cin=0, Cout=0, S=1010
A=0101, B=0101, Cin=1, Cout=0, S=1011
A=0101, B=0110, Cin=0, Cout=0, S=1011
A=0101, B=0110, Cin=1, Cout=0, S=1100
A=0101, B=0111, Cin=0, Cout=0, S=1100
A=0101, B=0111, Cin=1, Cout=0, S=1101
A=0101, B=1000, Cin=0, Cout=0, S=1101
