VCD info: dumpfile waves/enc20to5.vcd opened for output.
in=00000000000000000001, out=00000, strobe=x
in=00000000000000000011, out=00001, strobe=x
in=00000000000000000111, out=00010, strobe=x
in=00000000000000001111, out=00011, strobe=x
in=00000000000000011111, out=00100, strobe=x
in=00000000000000111111, out=00101, strobe=x
in=00000000000001111111, out=00110, strobe=x
in=00000000000011111111, out=00111, strobe=x
in=00000000000111111111, out=01000, strobe=x
in=00000000001111111111, out=01001, strobe=x
in=00000000011111111111, out=01010, strobe=x
in=00000000111111111111, out=01011, strobe=x
in=00000001111111111111, out=01100, strobe=x
in=00000011111111111111, out=01101, strobe=x
in=00000111111111111111, out=01110, strobe=x
in=00001111111111111111, out=01111, strobe=x
in=00011111111111111111, out=10000, strobe=x
in=00111111111111111111, out=10001, strobe=x
in=01111111111111111111, out=10010, strobe=x
in=11111111111111111111, out=10011, strobe=x
in=11111111111111111111, out=10011, strobe=x
testbench/enc20to5_tb.sv:22: $finish called at 2200000000 (10ps)
